datetime,portfolio_value,cash,positions,return
2020-09-28 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-09-29 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-09-30 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-01 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-02 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-03 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-05 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-06 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-07 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-08 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-09 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-10 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-12 09:30:00-04:00,123758.80847167969,123758.80847167969,"[{'asset': USD, 'quantity': 123758.80847167969}]",0.0
2020-10-13 09:30:00-04:00,123865.9072265625,221882.8084716797,"[{'asset': USD, 'quantity': 221882.8084716797}, {'asset': GC=F, 'quantity': -51.0}]",0.0008653828863205426
2020-10-14 09:30:00-04:00,126828.31396484375,300680.70947265625,"[{'asset': USD, 'quantity': 300680.70947265625}, {'asset': GC=F, 'quantity': -92.0}]",0.023916239783903892
2020-10-15 09:30:00-04:00,126828.31396484375,126828.31396484375,"[{'asset': USD, 'quantity': 126828.31396484375}]",0.0
2020-10-16 09:30:00-04:00,126828.31396484375,126828.31396484375,"[{'asset': USD, 'quantity': 126828.31396484375}]",0.0
2020-10-17 09:30:00-04:00,126828.31396484375,126828.31396484375,"[{'asset': USD, 'quantity': 126828.31396484375}]",0.0
2020-10-19 09:30:00-04:00,126828.31396484375,126828.31396484375,"[{'asset': USD, 'quantity': 126828.31396484375}]",0.0
2020-10-20 09:30:00-04:00,126828.31396484375,126828.31396484375,"[{'asset': USD, 'quantity': 126828.31396484375}]",0.0
2020-10-21 09:30:00-04:00,126828.31396484375,126828.31396484375,"[{'asset': USD, 'quantity': 126828.31396484375}]",0.0
2020-10-22 09:30:00-04:00,126828.31396484375,126828.31396484375,"[{'asset': USD, 'quantity': 126828.31396484375}]",0.0
2020-10-23 09:30:00-04:00,128121.51525878906,228816.21655273438,"[{'asset': USD, 'quantity': 228816.21655273438}, {'asset': GC=F, 'quantity': -53.0}]",0.010196471541076946
2020-10-24 09:30:00-04:00,128121.51525878906,128121.51525878906,"[{'asset': USD, 'quantity': 128121.51525878906}]",0.0
2020-10-26 09:30:00-04:00,128121.51525878906,128121.51525878906,"[{'asset': USD, 'quantity': 128121.51525878906}]",0.0
2020-10-27 09:30:00-04:00,128121.51525878906,128121.51525878906,"[{'asset': USD, 'quantity': 128121.51525878906}]",0.0
2020-10-28 09:30:00-04:00,128121.51525878906,128121.51525878906,"[{'asset': USD, 'quantity': 128121.51525878906}]",0.0
2020-10-29 09:30:00-04:00,128121.51525878906,128121.51525878906,"[{'asset': USD, 'quantity': 128121.51525878906}]",0.0
2020-10-30 09:30:00-04:00,128121.51525878906,128121.51525878906,"[{'asset': USD, 'quantity': 128121.51525878906}]",0.0
2020-10-31 09:30:00-04:00,128121.51525878906,128121.51525878906,"[{'asset': USD, 'quantity': 128121.51525878906}]",0.0
2020-11-02 09:30:00-05:00,128121.51525878906,128121.51525878906,"[{'asset': USD, 'quantity': 128121.51525878906}]",0.0
2020-11-03 09:30:00-05:00,129144.51391601562,25112.013916015625,"[{'asset': USD, 'quantity': 25112.013916015625}, {'asset': GC=F, 'quantity': 55.0}]",0.007984596928628518
2020-11-04 09:30:00-05:00,129144.51391601562,129144.51391601562,"[{'asset': USD, 'quantity': 129144.51391601562}]",0.0
2020-11-05 09:30:00-05:00,129579.00854492188,24985.51123046875,"[{'asset': USD, 'quantity': 24985.51123046875}, {'asset': GC=F, 'quantity': 55.0}]",0.003364406398159492
2020-11-06 09:30:00-05:00,130009.10961914062,108660.30908203125,"[{'asset': USD, 'quantity': 108660.30908203125}, {'asset': GC=F, 'quantity': 11.0}]",0.003319218745755803
2020-11-07 09:30:00-05:00,130009.10961914062,130009.10961914062,"[{'asset': USD, 'quantity': 130009.10961914062}]",0.0
2020-11-09 09:30:00-05:00,130009.10961914062,130009.10961914062,"[{'asset': USD, 'quantity': 130009.10961914062}]",0.0
2020-11-10 09:30:00-05:00,134053.0057373047,233655.9083251953,"[{'asset': USD, 'quantity': 233655.9083251953}, {'asset': GC=F, 'quantity': -53.0}]",0.031104713585152544
2020-11-11 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-12 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-13 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-14 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-16 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-17 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-18 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-19 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-20 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-21 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-23 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-24 09:30:00-05:00,134053.0057373047,134053.0057373047,"[{'asset': USD, 'quantity': 134053.0057373047}]",0.0
2020-11-25 09:30:00-05:00,135699.10717773438,241981.70861816406,"[{'asset': USD, 'quantity': 241981.70861816406}, {'asset': GC=F, 'quantity': -59.0}]",0.01227948177197491
2020-11-26 09:30:00-05:00,135699.10717773438,135699.10717773438,"[{'asset': USD, 'quantity': 135699.10717773438}]",0.0
2020-11-27 09:30:00-05:00,135699.10717773438,135699.10717773438,"[{'asset': USD, 'quantity': 135699.10717773438}]",0.0
2020-11-28 09:30:00-05:00,135699.10717773438,135699.10717773438,"[{'asset': USD, 'quantity': 135699.10717773438}]",0.0
2020-11-30 09:30:00-05:00,135699.10717773438,135699.10717773438,"[{'asset': USD, 'quantity': 135699.10717773438}]",0.0
2020-12-01 09:30:00-05:00,135699.10717773438,135699.10717773438,"[{'asset': USD, 'quantity': 135699.10717773438}]",0.0
2020-12-02 09:30:00-05:00,137913.41015625,27424.107177734375,"[{'asset': USD, 'quantity': 27424.107177734375}, {'asset': GC=F, 'quantity': 61.0}]",0.016317741690189624
2020-12-03 09:30:00-05:00,138128.208984375,116177.8095703125,"[{'asset': USD, 'quantity': 116177.8095703125}, {'asset': GC=F, 'quantity': 12.0}]",0.0015574905143860285
2020-12-04 09:30:00-05:00,138128.208984375,138128.208984375,"[{'asset': USD, 'quantity': 138128.208984375}]",0.0
2020-12-05 09:30:00-05:00,138128.208984375,138128.208984375,"[{'asset': USD, 'quantity': 138128.208984375}]",0.0
2020-12-07 09:30:00-05:00,138128.208984375,138128.208984375,"[{'asset': USD, 'quantity': 138128.208984375}]",0.0
2020-12-08 09:30:00-05:00,138128.208984375,138128.208984375,"[{'asset': USD, 'quantity': 138128.208984375}]",0.0
2020-12-09 09:30:00-05:00,138128.208984375,138128.208984375,"[{'asset': USD, 'quantity': 138128.208984375}]",0.0
2020-12-10 09:30:00-05:00,140128.3104248047,248287.1075439453,"[{'asset': USD, 'quantity': 248287.1075439453}, {'asset': GC=F, 'quantity': -59.0}]",0.014480036012455288
2020-12-11 09:30:00-05:00,140128.3104248047,140128.3104248047,"[{'asset': USD, 'quantity': 140128.3104248047}]",0.0
2020-12-12 09:30:00-05:00,140128.3104248047,140128.3104248047,"[{'asset': USD, 'quantity': 140128.3104248047}]",0.0
2020-12-14 09:30:00-05:00,140128.3104248047,140128.3104248047,"[{'asset': USD, 'quantity': 140128.3104248047}]",0.0
2020-12-15 09:30:00-05:00,140128.3104248047,140128.3104248047,"[{'asset': USD, 'quantity': 140128.3104248047}]",0.0
2020-12-16 09:30:00-05:00,140128.3104248047,140128.3104248047,"[{'asset': USD, 'quantity': 140128.3104248047}]",0.0
